"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping","Mapping: FiveWs Pattern"
"Endpoint","","","",0,*,"","","","","The technical details of an endpoint that can be used for electronic services","The technical details of an endpoint that can be used for electronic services, such as for web services providing XDS.b or a REST endpoint for another FHIR server. This may include any security context information.","","","","","","","","","",,,,,"",,,,"Endpoint",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-1:If the resource is contained in another resource, it SHALL NOT contain any narrative {contained.text.empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource {contained.all(('#'+id in (%resource.descendants().reference | %resource.descendants().as(canonical))) or descendants().where(reference = '#').exists() or descendants().where(as(canonical) = '#').exists())}","Entity. Role, or Act","n/a"
"Endpoint.id","","","",0,1,"","","Y","id {[]} {[]}
","Logical id of this artifact","The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.","The only time that a resource does not have an id is when it is being submitted to the server using a create operation.","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"Endpoint.meta","","","",0,1,"","","Y","Meta {[]} {[]}
","Metadata about the resource","The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content might not always be associated with version changes to the resource.","","","","","","","","","",,,,,"",,,,"Resource.meta",0,1,"",""
"Endpoint.contact.extension.valueReference","valueReference","","viaintermediary",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/ig/vhdir/StructureDefinition/vhdir-practitionerrole], CanonicalType[http://hl7.org/fhir/ig/vhdir/StructureDefinition/vhdir-organization], CanonicalType[http://hl7.org/fhir/ig/vhdir/StructureDefinition/vhdir-organizationrole], CanonicalType[http://hl7.org/fhir/ig/vhdir/StructureDefinition/vhdir-location]]}
","Via intermediary","Represents an external point of contact responsible for handling communications with this entity","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"","","N/A"
"Endpoint.contact.system","","","",1,1,"","","Y","code {[]} {[]}
","phone | fax | email | pager | url | sms | other","Telecommunications form for contact point - what communications system is required to make use of the contact.","","","","","","","","","",,"required","Telecommunications form for contact point","http://hl7.org/fhir/ValueSet/contact-point-system","",,,,"ContactPoint.system",0,1,"cpt-2
","","./scheme"
"Endpoint.contact.value","","","",1,1,"","","Y","string {[]} {[]}
","The actual contact point details","The actual contact point details, in a form that is meaningful to the designated communication system (i.e. phone number or email address).","Additional text data such as phone extension numbers, or notes about use of the contact are sometimes included in the value.","Need to support legacy numbers that are not in a tightly controlled format.","","","","","","","",,,,,"",,,,"ContactPoint.value",0,1,"","","./url"
"Endpoint.contact.use","","","",0,1,"","Y","Y","code {[]} {[]}
","home | work | temp | old | mobile - purpose of this contact point","Identifies the purpose for the contact point.","Applications can assume that a contact is current unless it explicitly says that it is temporary or old.","Need to track the way a person uses this contact, so a user can choose which is appropriate for their purpose.","","","","","","","",,"required","Use of contact point","http://hl7.org/fhir/ValueSet/contact-point-use","",,,,"ContactPoint.use",0,1,"","","unique(./use)"
"Endpoint.contact.rank","","","",0,1,"","","Y","positiveInt {[]} {[]}
","Specify preferred order of use (1 = highest)","Specifies a preferred order in which to use a set of contacts. Contacts are ranked with lower values coming before higher values.","Note that rank does not necessarily follow the order in which the contacts are represented in the instance.","","","","","","","","",,,,,"",,,,"ContactPoint.rank",0,1,"","","n/a"
"Endpoint.contact.period","","","",0,1,"","","Y","Period {[]} {[]}
","Time period when the contact point was/is in use","Time period when the contact point was/is in use.","","","","","","","","","",,,,,"",,,,"ContactPoint.period",0,1,"","","./usablePeriod[type=""IVL<TS>""]"
"Endpoint.period","","","",0,1,"","","Y","Period {[]} {[]}
","Interval the endpoint is expected to be operational","The interval during which the endpoint is expected to be operational.","","","","","","","","","",,,,,"",,,,"Endpoint.period",0,1,"","","n/a","FiveWs.done[x]"
"Endpoint.payloadType","","","",1,*,"","","Y","CodeableConcept {[]} {[]}
","The type of content that may be used at this endpoint (e.g. XDS Discharge summaries)","The payload type describes the acceptable content that can be communicated on the endpoint.","The payloadFormat describes the serialization format of the data, where the payloadType indicates the specific document/schema that is being transferred; e.g. DischargeSummary or CarePlan.","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/endpoint-payload-type","",,,,"Endpoint.payloadType",1,*,"","","n/a"
"Endpoint.payloadMimeType","","","",0,*,"","","Y","code {[]} {[]}
","Mimetype to send. If not specified, the content could be anything (including no payload, if the connectionType defined this)","The mime type to send the payload in - e.g. application/fhir+xml, application/fhir+json. If the mime type is not specified, then the sender could send any content (including no content depending on the connectionType).","Sending the payload has obvious security consequences. The server is responsible for ensuring that the content is appropriately secured.","","","","","","","","",,"required","The mime type of an attachment. Any valid mime type is allowed.","http://www.rfc-editor.org/bcp/bcp13.txt","",,,,"Endpoint.payloadMimeType",0,*,"","","n/a"
"Endpoint.address","","","",1,1,"","","Y","url {[]} {[]}
","The technical base address for connecting to this endpoint","The uri that describes the actual end-point to connect to.","For rest-hook, and websocket, the end-point must be an http: or https: URL; for email, a mailto: url, for sms, a tel: url, and for message the endpoint can be in any form of url the server understands (usually, http: or mllp:). The URI is allowed to be relative; in which case, it is relative to the server end-point (since their may be more than one, clients should avoid using relative URIs)

This address will be to the service base, without any parameters, or sub-services or resources tacked on.

E.g. for a WADO-RS endpoint, the url should be ""https://pacs.hospital.org/wado-rs""

and not ""https://pacs.hospital.org/wado-rs/studies/1.2.250.1.59.40211.12345678.678910/series/1.2.250.1.59.40211.789001276.14556172.67789/instances/..."".","","","","","","","","",,,,,"",,,,"Endpoint.address",1,1,"","","n/a"
"Endpoint.header","","","",0,*,"","","","string {[]} {[]}
","Usage depends on the channel type","Additional headers / information to send as part of the notification.","Exactly what these mean depend on the channel type. The can convey additional information to the recipient and/or meet security requirements.","","","","","","","","",,,,,"",,,,"Endpoint.header",0,*,"",""
